"Source:","C:\Users\Jacob\Documents\GitHub\iot_pwm_leddriver\PCB\iot_pwm_leddriver.kicad_sch"
"Date:","1/8/2024 8:04:02 AM"
"Tool:","Eeschema 7.0.9"
"Generator:","C:\Users\Jacob\AppData\Local\Programs\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","42"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Description","LCSC","Note","Sim.Device","Sim.Pins","Sim.Type","Vendor"
"1","10","C1, C2, C3, C4, C5, C6, C9, C10, C11, C17","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","C15850","","","","","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Murata-Electronics-GRM21BR61C106KE15L_C77075.html"
"2","1","C16","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","C49678","","","","","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0805B104K500NT_C38141.html"
"3","1","D1","PWR","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","C84256","","","","","https://www.lcsc.com/product-detail/Light-Emitting-Diodes-LED_Foshan-NationStar-Optoelectronics-NCD1206B1_C130717.html"
"4","1","D2","STAT","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","C84256","","","","","https://www.lcsc.com/product-detail/Light-Emitting-Diodes-LED_Foshan-NationStar-Optoelectronics-NCD1206B1_C130717.html"
"5","1","D5","SMF12A","Diode:SMF18A","Diode_SMD:D_SMF","https://www.vishay.com/doc?85881","","","C726901","","","","",""
"6","1","D9","1N5819WS","Device:D_Schottky","Diode_SMD:D_SOD-323_HandSoldering","~","","","C191023","","","","",""
"7","1","F2","Fuse Holder","projectlib:FuseHolder","jmux-footprints:FUSE-TH_XF-505P","~","","https://www.lcsc.com/product-detail/Fuse-Holders_XFCN-XF-505P_C843270.html","C843270","","","","",""
"8","1","F4","Fuse 8A",":Fuse-noLegs_1","","~","","","-","","","","",""
"9","1","J2","12V PWR","dc_jack_lib:DC-470-2_1GP","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal","https://so.szlcsc.com/global.html?c=&k=C194407","","","C194407","","","","","https://www.lcsc.com/product-detail/AC-span-style-background-color-ff0-DC-span-span-style-background-color-ff0-Power-span-Connectors_GANGYUAN-DC-470-2-1GP_C194407.html"
"10","1","J3","LED_GRBWA","projectlib:LED_GRBWA","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-5-2.54_1x05_P2.54mm_Horizontal","https://www.lcsc.com/product-detail/Screw-terminal_MAX-MX128-2-54-05P-GN01-Cu-Y-A_C5188445.html","","MX128-2.54-05P-GN01-Cu-Y-A","C5188445","5 pin 2.54 Pitch Terminal Block","","","",""
"11","4","Q1, Q2, Q3, Q4","UMW30N06","UMW30N06:UMW30N06","Package_TO_SOT_SMD:TO-252-2","https://item.szlcsc.com/176608.html","","","C369599","","NMOS","1=D 2=G 3=S","VDMOS",""
"12","5","R1, R2, R3, R4, R5","10k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","C17414","","","","","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRQ0805F1002TS_C5159708.html"
"13","2","R6, R9","1k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","125mW Thick Film Resistors ±100ppm/℃ ±1% 1kΩ 0805 Chip Resistor - Surface Mount ROHS"," C17513 ","","","","",""
"14","4","R7, R8, R10, R11","100","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","C17408","","","","",""
"15","1","SW1","RESET","C5117870_lib:GT-TC060A-H025-L1","Button_Switch_SMD:SW_SPST_TL3342","https://item.szlcsc.com/902766.html","","","C318884","","","","","https://www.lcsc.com/product-detail/Tactile-Switches_G-Switch-GT-TC060A-H025-L1_C5117870.html"
"16","1","SW2","FLASH","C5117870_lib:GT-TC060A-H025-L1","Button_Switch_SMD:SW_SPST_TL3342","https://item.szlcsc.com/902766.html","","","C318884","","","","","https://www.lcsc.com/product-detail/Tactile-Switches_G-Switch-GT-TC060A-H025-L1_C5117870.html"
"17","1","U1","ESP-12F","RF_Module:ESP-12F","RF_Module:ESP-12E","http://wiki.ai-thinker.com/_media/esp8266/esp8266_series_modules_user_manual_v1.1.pdf","",""," C82891 ","","","","",""
"18","4","U2, U3, U4, U5","MCP1416","Driver_FET:MCP1416","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","http://ww1.microchip.com/downloads/en/DeviceDoc/20002092F.pdf","","alternatively: https://www.lcsc.com/product-detail/Gate-Drive-ICs_JSMSEMI-MCP1416T-E-OT-JSM_C18195002.html","C83775 ","","","","",""
"19","1","U7","AMS1117-3.3","Regulator_Linear:AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","","","C6186","","","","","https://www.lcsc.com/product-detail/Linear-span-style-background-color-ff0-Voltage-span-Regulators-LDO_UMW-Youtai-Semiconductor-Co-Ltd-AMS1117-3-3_C347222.html"
